ticker,name,norm
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,ARTIUS II ACQUISITION ORDINARY SHARES
AACBR,Artius II Acquisition Inc. - Rights,ARTIUS II ACQUISITION RIGHTS
AACBU,Artius II Acquisition Inc. - Units,ARTIUS II ACQUISITION UNITS
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",ATA CREATIVITY GLOBAL AMERICAN DEPOSITARY SHARES EACH REPRESENTING TWO COMMON SHARES
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,ARMADA ACQUISITION III ORDINARY SHARE
AACIU,Armada Acquisition Corp. III - Units,ARMADA ACQUISITION III UNITS
AACIW,Armada Acquisition Corp. III - Warrant,ARMADA ACQUISITION III WARRANT
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,ABONY ACQUISITION I ORDINARY SHARE
AACOU,Abony Acquisition Corp. I - Units,ABONY ACQUISITION I UNITS
AACOW,Abony Acquisition Corp. I - Warrants,ABONY ACQUISITION I WARRANTS
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,APOGEE ACQUISITION ORDINARY SHARES
AACPR,Apogee Acquisition Corp - Rights,APOGEE ACQUISITION RIGHTS
AACPU,Apogee Acquisition Corp - Units,APOGEE ACQUISITION UNITS
AACPW,Apogee Acquisition Corp - Warrant,APOGEE ACQUISITION WARRANT
AADR,AdvisorShares Dorsey Wright ADR ETF,ADVISORSHARES DORSEY WRIGHT ADR ETF
AAEQ,Alpha Architect US Equity 2 ETF,ALPHA ARCHITECT US EQUITY 2 ETF
AAL,"American Airlines Group, Inc. - Common Stock",AMERICAN AIRLINES GROUP
AALG,Leverage Shares 2X Long AAL Daily ETF,LEVERAGE SHARES 2X LONG AAL DAILY ETF
AAME,Atlantic American Corporation - Common Stock,ATLANTIC AMERICAN
AAOI,"Applied Optoelectronics, Inc. - Common Stock",APPLIED OPTOELECTRONICS
AAON,"AAON, Inc. - Common Stock",AAON
AAPB,GraniteShares 2x Long AAPL Daily ETF,GRANITESHARES 2X LONG AAPL DAILY ETF
AAPD,Direxion Daily AAPL Bear 1X ETF,DIREXION DAILY AAPL BEAR 1X ETF
AAPG,Ascentage Pharma Group International - American Depository Shares,ASCENTAGE PHARMA GROUP INTERNATIONAL AMERICAN DEPOSITORY SHARES
AAPL,Apple Inc. - Common Stock,APPLE
AAPU,Direxion Daily AAPL Bull 2X ETF,DIREXION DAILY AAPL BULL 2X ETF
AARD,"Aardvark Therapeutics, Inc. - Common Stock",AARDVARK THERAPEUTICS
AAUS,Alpha Architect US Equity ETF,ALPHA ARCHITECT US EQUITY ETF
AAVM,Alpha Architect Global Factor Equity ETF,ALPHA ARCHITECT GLOBAL FACTOR EQUITY ETF
AAXJ,iShares MSCI All Country Asia ex Japan ETF,ISHARES MSCI ALL COUNTRY ASIA EX JAPAN ETF
ABAT,American Battery Technology Company - Common Stock,AMERICAN BATTERY TECHNOLOGY COMPANY
ABCL,AbCellera Biologics Inc. - Common Shares,ABCELLERA BIOLOGICS COMMON SHARES
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,ALPHA BLUE CAPITAL US SMALL MID CAP DYNAMIC ETF
ABEO,Abeona Therapeutics Inc. - Common Stock,ABEONA THERAPEUTICS
ABI,VictoryShares Pioneer Asset-Based Income ETF,VICTORYSHARES PIONEER ASSET BASED INCOME ETF
ABIG,Argent Large Cap ETF,ARGENT LARGE CAP ETF
ABLV,Able View Global Inc. - Class B Ordinary Shares,ABLE VIEW GLOBAL ORDINARY SHARES
ABLVW,Able View Global Inc. - Warrant,ABLE VIEW GLOBAL WARRANT
ABNB,"Airbnb, Inc. - Class A Common Stock",AIRBNB
ABNG,Leverage Shares 2x Long ABNB Daily ETF,LEVERAGE SHARES 2X LONG ABNB DAILY ETF
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",ACUMEN PHARMACEUTICALS
ABSI,Absci Corporation - Common Stock,ABSCI
ABTC,American Bitcoin Corp. - Class A Common Stock,AMERICAN BITCOIN
ABTS,Abits Group Inc - Ordinary Shares,ABITS GROUP ORDINARY SHARES
ABUS,Arbutus Biopharma Corporation - Common Stock,ARBUTUS BIOPHARMA
ABVC,"ABVC BioPharma, Inc. - Common Stock",ABVC BIOPHARMA
ABVE,Above Food Ingredients Inc. - Common Stock,ABOVE FOOD INGREDIENTS
ABVEW,Above Food Ingredients Inc. - Warrant,ABOVE FOOD INGREDIENTS WARRANT
ABVX,Abivax SA - American Depositary Shares,ABIVAX SA AMERICAN DEPOSITARY SHARES
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,AVERIN CAPITAL ACQUISITION ORDINARY SHARES
ACAAU,Averin Capital Acquisition Corp. - Units,AVERIN CAPITAL ACQUISITION UNITS
ACAAW,Averin Capital Acquisition Corp. - Warrants,AVERIN CAPITAL ACQUISITION WARRANTS
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,ACADIA PHARMACEUTICALS
ACB,Aurora Cannabis Inc. - Common Shares,AURORA CANNABIS COMMON SHARES
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,ACCO GROUP LIMITED ORDINARY SHARES
ACDC,ProFrac Holding Corp. - Class A Common Stock,PROFRAC HOLDING
ACEP,ARS Core Equity Portfolio ETF,ARS CORE EQUITY PORTFOLIO ETF
ACET,"Adicet Bio, Inc. - Common Stock",ADICET BIO
ACFN,"Acorn Energy, Inc. - Common Stock",ACORN ENERGY
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,ACP ACQUISITION ORDINARY SHARES
ACGCU,ACP Holdings Acquisition Corp. - Units,ACP ACQUISITION UNITS
