ticker,buy_trade_id,sell_trade_id,buy_date,sell_date,holding_days,buy_amount_min,sell_amount_min,match_status
KFFB,c1aed8243404,,2025-03-04,,,100001.0,,open
KFFB,5c68bdd243af,,2025-06-03,,,50001.0,,open
META,3b948200d359,3c93ab44c434,2025-02-26,2026-01-15,323.0,250001.0,500001.0,matched
META,6851b0289882,b14990403c13,2026-01-12,2026-01-21,9.0,1001.0,1001.0,matched
META,a08089d2b879,810906c4b361,2026-01-12,2026-02-01,20.0,100001.0,1001.0,matched
META,62ca5001581c,c20502d686c7,2026-01-21,2026-03-18,56.0,250001.0,250001.0,matched
META,307a8b07acd7,,2026-01-23,,,250001.0,,open
META,6d63047d7a81,,2026-01-23,,,50001.0,,open
META,50328cec6c8e,,2026-01-26,,,1001.0,,open
META,b048679aebb2,,2026-02-03,,,50001.0,,open
META,873ec1ec1d13,,2026-02-19,,,1001.0,,open
META,afc51c305f8c,,2026-02-23,,,1001.0,,open
META,b707fd022bb3,,2026-02-23,,,1001.0,,open
META,f8282093d3ef,,2026-03-02,,,250001.0,,open
META,cb4cfe03892a,,2026-03-11,,,100001.0,,open
META,ae7db176708a,,2026-03-12,,,100001.0,,open
META,2f942049b10e,,2026-03-17,,,15001.0,,open
META,26470082d9b9,,2026-03-23,,,15001.0,,open
META,9e1ad75b3ea3,,2026-03-23,,,15001.0,,open
MAIN,70685d8de2e0,,2025-12-03,,,50001.0,,open
BSX,,094372bfab21,,2026-01-06,,,250001.0,prior_position
BSX,2408748418b9,a21352e4b8b0,2026-01-12,2026-01-16,4.0,1001.0,250001.0,matched
BSX,bb2599b1c770,c111f32b085f,2026-01-12,2026-02-23,42.0,1001.0,1001.0,matched
BSX,9ed952d1a7d9,,2026-01-12,,,50001.0,,open
BSX,2bd86757bdf5,,2026-01-21,,,15001.0,,open
BSX,3480956857e5,,2026-03-11,,,1001.0,,open
BSX,ed10ec4e35c0,,2026-03-17,,,500001.0,,open
BSX,187b78453bdc,,2026-03-18,,,100001.0,,open
BSX,c9f6bf978e60,,2026-03-28,,,1001.0,,open
PGR,06ca574109f1,77ba58ff7855,2026-01-12,2026-02-10,29.0,50001.0,250001.0,matched
