ticker,n_matched_pairs,n_open_buys,n_prior_sells,avg_holding_days,median_holding_days,min_holding_days,max_holding_days
TEAM,4,0,0,13.0,9.5,6.0,27.0
NVDA,4,7,0,28.75,31.0,11.0,42.0
AMZN,4,15,0,31.0,32.5,24.0,35.0
ACN,4,4,0,30.0,31.5,22.0,35.0
MSFT,4,13,0,92.5,20.5,6.0,323.0
META,4,13,0,102.0,38.0,9.0,323.0
BRK-B,3,4,0,45.333333333333336,60.0,14.0,62.0
PLTR,3,5,2,16.0,16.0,15.0,17.0
FTNT,3,6,1,129.66666666666666,47.0,32.0,310.0
CNC,3,0,0,15.666666666666666,8.0,8.0,31.0
ADSK,3,2,1,7.333333333333333,4.0,0.0,18.0
GIS,3,0,2,40.666666666666664,47.0,22.0,53.0
CRM,3,8,0,21.666666666666668,9.0,0.0,56.0
JPM,3,8,1,25.333333333333332,11.0,5.0,60.0
DASH,3,6,1,15.666666666666666,5.0,5.0,37.0
V,3,8,0,16.0,14.0,14.0,20.0
DDOG,3,4,1,38.666666666666664,56.0,1.0,59.0
HRL,2,2,1,29.5,29.5,6.0,53.0
DHR,2,1,0,7.0,7.0,5.0,9.0
VSNT,2,2,1,38.0,38.0,24.0,52.0
INVH,2,3,1,34.0,34.0,15.0,53.0
IOT,2,0,1,12.0,12.0,11.0,13.0
ISRG,2,4,1,26.0,26.0,15.0,37.0
IT,2,5,0,21.0,21.0,15.0,27.0
APP,2,7,0,39.5,39.5,35.0,44.0
UBER,2,12,0,36.5,36.5,36.0,37.0
ALKS,2,1,0,5.5,5.5,0.0,11.0
LRN,2,0,0,31.0,31.0,26.0,36.0
ALRM,2,1,0,26.0,26.0,0.0,52.0
TYL,2,7,0,56.5,56.5,42.0,71.0
HD,2,9,0,36.0,36.0,4.0,68.0
MATX,2,1,0,39.0,39.0,26.0,52.0
TTD,2,6,0,60.5,60.5,48.0,73.0
CORT,2,1,0,26.0,26.0,0.0,52.0
TRMB,2,3,0,43.5,43.5,31.0,56.0
GWRE,2,2,0,31.0,31.0,31.0,31.0
WAT,2,3,0,35.0,35.0,35.0,35.0
WDAY,2,7,2,26.5,26.5,0.0,53.0
AMT,2,1,1,23.0,23.0,9.0,37.0
MSTR,2,2,1,11.5,11.5,0.0,23.0
GEN,2,1,0,36.5,36.5,31.0,42.0
DT,2,1,0,27.5,27.5,22.0,33.0
TMUS,2,4,0,7.5,7.5,6.0,9.0
OMC,2,4,0,53.5,53.5,34.0,73.0
ORCL,2,14,0,25.0,25.0,15.0,35.0
DUOL,2,1,0,49.0,49.0,42.0,56.0
PANW,2,5,0,22.5,22.5,18.0,27.0
PAYC,2,3,0,40.0,40.0,34.0,46.0
PAYX,2,9,0,35.0,35.0,22.0,48.0
PGR,2,6,0,48.5,48.5,29.0,68.0
SWKS,2,3,0,65.5,65.5,56.0,75.0
SW,2,6,0,52.0,52.0,51.0,53.0
FLUT,2,2,1,48.5,48.5,42.0,55.0
SPGI,2,3,0,10.0,10.0,0.0,20.0
BX,2,3,1,6.0,6.0,0.0,12.0
SNPS,2,5,0,40.0,40.0,36.0,44.0
BSX,2,6,1,23.0,23.0,4.0,42.0
FDS,2,1,2,21.5,21.5,6.0,37.0
QCOM,2,8,1,4.5,4.5,2.0,7.0
RBRK,2,0,0,32.5,32.5,31.0,34.0
RKLB,2,0,1,16.5,16.5,0.0,33.0
ROP,2,8,1,30.0,30.0,29.0,31.0
AVGO,2,8,0,209.5,209.5,70.0,349.0
RYAN,2,4,0,171.5,171.5,32.0,311.0
BA,2,4,0,39.5,39.5,35.0,44.0
AXON,2,2,0,53.5,53.5,47.0,60.0
AWI,1,0,0,26.0,26.0,26.0,26.0
AYI,1,0,0,55.0,55.0,55.0,55.0
AZO,1,1,3,6.0,6.0,6.0,6.0
SCSC,1,1,0,26.0,26.0,26.0,26.0
SAIL,1,1,0,25.0,25.0,25.0,25.0
S,1,0,0,33.0,33.0,33.0,33.0
BALL,1,0,0,29.0,29.0,29.0,29.0
BANF,1,0,0,26.0,26.0,26.0,26.0
BANR,1,0,0,26.0,26.0,26.0,26.0
BAX,1,1,0,40.0,40.0,40.0,40.0
BBY,1,3,0,19.0,19.0,19.0,19.0
BCPC,1,0,0,26.0,26.0,26.0,26.0
AVNS,1,0,0,26.0,26.0,26.0,26.0
AVB,1,2,0,37.0,37.0,37.0,37.0
RNG,1,1,0,46.0,46.0,46.0,46.0
BKNG,1,8,2,0.0,0.0,0.0,0.0
AVA,1,0,0,26.0,26.0,26.0,26.0
BL,1,1,0,31.0,31.0,31.0,31.0
AUR,1,2,0,34.0,34.0,34.0,34.0
BLFS,1,1,0,26.0,26.0,26.0,26.0
RAMP,1,0,0,31.0,31.0,31.0,31.0
BLMN,1,1,0,25.0,25.0,25.0,25.0
SHAK,1,1,0,26.0,26.0,26.0,26.0
PTC,1,6,0,64.0,64.0,64.0,64.0
PRGS,1,1,0,26.0,26.0,26.0,26.0
PRGO,1,1,0,63.0,63.0,63.0,63.0
SKY,1,0,0,26.0,26.0,26.0,26.0
BRO,1,3,1,11.0,11.0,11.0,11.0
SNEX,1,1,0,26.0,26.0,26.0,26.0
PODD,1,1,2,35.0,35.0,35.0,35.0
SOFI,1,1,0,0.0,0.0,0.0,0.0
C,1,2,0,59.0,59.0,59.0,59.0
SPY,1,1,2,11.0,11.0,11.0,11.0
PLAY,1,0,0,25.0,25.0,25.0,25.0
CAG,1,1,0,38.0,38.0,38.0,38.0
CAKE,1,0,0,26.0,26.0,26.0,26.0
PINS,1,0,0,34.0,34.0,34.0,34.0
SYK,1,7,0,70.0,70.0,70.0,70.0
PCTY,1,3,0,22.0,22.0,22.0,22.0
PCOR,1,2,1,20.0,20.0,20.0,20.0
PCG$X,1,2,0,36.0,36.0,36.0,36.0
SYY,1,2,0,4.0,4.0,4.0,4.0
APOG,1,1,0,14.0,14.0,14.0,14.0
TDG,1,1,0,74.0,74.0,74.0,74.0
OTTR,1,1,0,32.0,32.0,32.0,32.0
OTIS,1,1,1,1.0,1.0,1.0,1.0
TFX,1,2,0,61.0,61.0,61.0,61.0
CCI,1,4,2,49.0,49.0,49.0,49.0
CCL,1,2,0,36.0,36.0,36.0,36.0
CDNS,1,8,2,33.0,33.0,33.0,33.0
CDW,1,2,0,26.0,26.0,26.0,26.0
OPLN,1,1,0,26.0,26.0,26.0,26.0
TLN,1,1,0,64.0,64.0,64.0,64.0
OKTA,1,0,0,23.0,23.0,23.0,23.0
NVR,1,2,0,70.0,70.0,70.0,70.0
TOST,1,3,1,31.0,31.0,31.0,31.0
NTNX,1,2,0,9.0,9.0,9.0,9.0
NSIT,1,0,1,26.0,26.0,26.0,26.0
