ticker,buy_trade_id,sell_trade_id,buy_date,sell_date,holding_days,buy_amount_min,sell_amount_min,match_status
META,3b948200d359,3c93ab44c434,2025-02-26,2026-01-15,323.0,250001.0,500001.0,matched
META,6851b0289882,b14990403c13,2026-01-12,2026-01-21,9.0,1001.0,1001.0,matched
META,a08089d2b879,810906c4b361,2026-01-12,2026-02-01,20.0,100001.0,1001.0,matched
META,62ca5001581c,c20502d686c7,2026-01-21,2026-03-18,56.0,250001.0,250001.0,matched
BSX,2408748418b9,a21352e4b8b0,2026-01-12,2026-01-16,4.0,1001.0,250001.0,matched
BSX,bb2599b1c770,c111f32b085f,2026-01-12,2026-02-23,42.0,1001.0,1001.0,matched
PGR,06ca574109f1,77ba58ff7855,2026-01-12,2026-02-10,29.0,50001.0,250001.0,matched
PGR,2ed6ba26d677,8f8be5f2af85,2026-01-12,2026-03-21,68.0,50001.0,1001.0,matched
PRGO,b998eb48d94e,720fd38ca442,2026-01-26,2026-03-30,63.0,1001.0,15001.0,matched
APOG,457f5216ee8b,2851f119ce97,2026-02-12,2026-02-26,14.0,15001.0,1001.0,matched
ROP,94755ea15efe,052829297eb0,2026-01-12,2026-02-12,31.0,100001.0,100001.0,matched
ROP,9417738d9e3f,e370e30b2ada,2026-01-21,2026-02-19,29.0,15001.0,1001.0,matched
AMCR,26b62ef17867,346b240088b8,2026-01-23,2026-03-17,53.0,1001.0,1001.0,matched
WSFS,f7f3064c2327,f9ab8acafdb0,2026-03-04,2026-03-30,26.0,50001.0,1001.0,matched
CPRT,3b85746f8fa3,c888d65d1d22,2026-01-23,2026-03-17,53.0,1001.0,1001.0,matched
ISRG,3c0ba259945e,a7eef46be853,2026-01-06,2026-02-12,37.0,50001.0,1001.0,matched
ISRG,f72513067867,366ffb043a22,2026-03-02,2026-03-17,15.0,50001.0,1001.0,matched
UNP,cb06dac54fa0,46327ad77e6c,2026-01-12,2026-01-12,0.0,1001.0,1001.0,matched
TOST,51a9b47dbd18,7fbd9174e389,2026-01-12,2026-02-12,31.0,1001.0,1001.0,matched
CRM,bec452a96d60,4bea1cbc6d2e,2026-01-21,2026-01-21,0.0,15001.0,1001.0,matched
CRM,61e5d821bec7,ec21e653afb6,2026-01-23,2026-02-01,9.0,,1001.0,matched
CRM,43f7338e1f26,8e9e3728ffdb,2026-01-26,2026-03-23,56.0,1001.0,15001.0,matched
AVGO,653bdb592e84,89e2651b3dbf,2025-03-18,2026-03-02,349.0,15001.0,250001.0,matched
AVGO,3a80b18fc961,7945709ce6fd,2026-01-06,2026-03-17,70.0,50001.0,100001.0,matched
PODD,3f6060299b5c,5b02708fa210,2026-01-06,2026-02-10,35.0,100001.0,100001.0,matched
VSNT,23ac2cd9cb3d,f287f549c26e,2026-01-26,2026-02-19,24.0,100001.0,1001.0,matched
VSNT,5e96ec594f6a,c792c674182b,2026-02-06,2026-03-30,52.0,100001.0,1001.0,matched
DASH,ede4a8d8c1f3,4611a6329980,2026-01-12,2026-01-17,5.0,50001.0,1001.0,matched
DASH,203592d5e057,9a42b78107d2,2026-01-16,2026-01-21,5.0,250001.0,50001.0,matched
DASH,df44cc51c4ee,60889a36da0a,2026-02-12,2026-03-21,37.0,1001.0,1001.0,matched
MATX,2c50080d9f9b,58836a917db6,2026-01-26,2026-02-21,26.0,15001.0,1001.0,matched
MATX,c83053d2f964,2dc4b58d35f6,2026-02-06,2026-03-30,52.0,15001.0,15001.0,matched
PAYX,7bb4c2338932,d4d0a485963a,2026-01-21,2026-02-12,22.0,1001.0,,matched
PAYX,13dafda3391c,4cc43cd16608,2026-01-22,2026-03-11,48.0,15001.0,1001.0,matched
GIS,98160aeaf6f8,a04eb03c317b,2026-01-23,2026-03-11,47.0,1001.0,1001.0,matched
GIS,d780ae51d856,0cf22264c848,2026-01-23,2026-03-17,53.0,1001.0,1001.0,matched
GIS,b81572bcf3cf,81a09fce681b,2026-02-23,2026-03-17,22.0,1001.0,1001.0,matched
AWI,d36e29e636ee,dbea4a299055,2026-03-04,2026-03-30,26.0,15001.0,1001.0,matched
DIS,5cf7b36c0d9a,772f987bec6a,2026-01-21,2026-02-12,22.0,100001.0,100001.0,matched
BKNG,cab8fce28c1f,2751ca23833c,2026-01-23,2026-01-23,0.0,1001.0,1001.0,matched
PANW,4b68919ee426,652ff0cbc0ac,2026-01-23,2026-02-10,18.0,15001.0,500001.0,matched
PANW,f6be06cb8972,1d0c263e27da,2026-02-19,2026-03-18,27.0,1001.0,50001.0,matched
SPGI,0eb2b36aee76,fe2c568eb156,2026-01-21,2026-02-10,20.0,15001.0,500001.0,matched
SPGI,acd686b12b67,2e10c9f2e260,2026-02-12,2026-02-12,0.0,1001.0,100001.0,matched
MSFT,68209b4e2646,b0b255ef4497,2025-02-23,2026-01-12,323.0,15001.0,1001.0,matched
MSFT,23647be40b13,8175ae550219,2026-01-06,2026-01-12,6.0,500001.0,100001.0,matched
MSFT,99a4d5da2e37,95d00d0ecafa,2026-01-21,2026-02-10,20.0,15001.0,5000001.0,matched
MSFT,42a59fac1f04,c74d2324dbc1,2026-01-23,2026-02-13,21.0,250001.0,500001.0,matched
C,4da27b9a78dc,98c9ad8eaf72,2026-01-17,2026-03-17,59.0,1001.0,1001.0,matched
BRK-B,2f8e5bf2e2b7,80a9c690ce03,2026-01-07,2026-01-21,14.0,1001.0,1001.0,matched
BRK-B,f663360dcc16,25ffca99e1ee,2026-01-17,2026-03-18,60.0,1001.0,50001.0,matched
BRK-B,bb93cd5fb41b,a42882f41416,2026-01-23,2026-03-26,62.0,1001.0,15001.0,matched
OMC,645d4331f918,f1ef72540b9e,2026-01-07,2026-02-10,34.0,1001.0,500001.0,matched
