ticker,action,transaction_date,event_time,platform,link_type,days_event_minus_txn,trump_pnl_10d,notional,headline,url,query
PLTR,sale,2026-02-10,2026-04-10,truth_social,ticker_mentioned,59,38133.44989531252,1000001.0,Palantir Technologies (PLTR) has proven to have great war fighting capabilities and equipment. Just ask our enemies!!! President DJT,https://truthsocial.com/@realDonaldTrump/116380894672815869,
JPM,sale,2026-01-02,2026-01-17,truth_social,ticker_mentioned,15,1782.1032303498428,50001.0,"A front page Article in The Fake News Wall Street Journal states, without any verification, that I offered Jamie Dimon, of JPMorgan Chase, the job of Fed Chairm",https://truthsocial.com/@realDonaldTrump/115911321115123547,
JPM,sale,2026-01-12,2026-01-22,truth_social,social_near_trade,10,3725.9214956324226,50001.0,Trump sues JPMorgan Chase and CEO Jamie Dimon for $5B over alleged 'political' debanking: https://www.foxbusiness.com/politics/trump-sues-jpmorgan-chase-ceo-jam,https://truthsocial.com/@realDonaldTrump/115940059516984793,
TTD,purchase,2026-02-10,2026-04-04,truth_social,ticker_mentioned,53,-5279.166018396389,50001.0,"Not only were the jobs numbers GREAT yesterday, 178,000 new jobs, but the TRADE DEFICIT was down 55%, the biggest drop in history. THANK YOU MR. TARIFF! All of ",https://truthsocial.com/@realDonaldTrump/116346686438015338,
TTD,purchase,2026-02-10,2026-02-20,truth_social,ticker_mentioned,10,-5279.166018396389,50001.0,"To show you how ridiculous the opinion is, the Court said that I'm not allowed to charge even $1 DOLLAR to any Country under IEEPA, I assume to protect other Co",https://truthsocial.com/@realDonaldTrump/116104407604484915,
TTD,purchase,2026-02-10,2026-04-03,truth_social,ticker_mentioned,52,-5279.166018396389,50001.0,"A very happy and blessed Good Friday to all, especially to the 186,000 Americans who gained Private Sector jobs in the month of March alone! My Economic Policie",https://truthsocial.com/@realDonaldTrump/116342994589318293,
GS,purchase,2026-03-02,2026-05-12,truth_social,ticker_mentioned,71,-1165.1581825534086,15001.0,"CNBC incorrectly reported that the Great Jensen Huang, of Nvidia, was not invited to the incredible gathering of the World's Greatest Businessmen/women proudly ",https://truthsocial.com/@realDonaldTrump/116565066757116256,
GS,purchase,2026-03-02,2026-05-12,truth_social,ticker_mentioned,71,-1165.1581825534086,15001.0,"RT @realDonaldTrumpCNBC incorrectly reported that the Great Jensen Huang, of Nvidia, was not invited to the incredible gathering of the World's Greatest Busines",https://truthsocial.com/@realDonaldTrump/116565073088871081,
GS,purchase,2026-03-02,2026-05-13,truth_social,social_near_disclosure,72,-1165.1581825534086,15001.0,"RT @realDonaldTrumpCNBC incorrectly reported that the Great Jensen Huang, of Nvidia, was not invited to the incredible gathering of the World's Greatest Busines",https://truthsocial.com/@realDonaldTrump/116565480086717671,
LMT,purchase,2026-03-12,2026-03-06,truth_social,ticker_mentioned,-6,-585.9496193284815,15001.0,We just concluded a very good meeting with the largest U.S. Defense Manufacturing Companies where we discussed Production and Production Schedules. They have ag,https://truthsocial.com/@realDonaldTrump/116184185735585906,
TMO,purchase,2026-03-21,2026-03-11,truth_social,ticker_mentioned,-10,357.04729982110206,15001.0,"I am on my way to the Great State of Ohio, which I love and WON BIG three times, to visit Thermo Fisher, a Pharmaceutical Manufacturing Company, that is investi",https://truthsocial.com/@realDonaldTrump/116211753106602288,
NOC,purchase,2025-03-17,2026-03-06,truth_social,ticker_mentioned,354,43.89717019438054,1001.0,We just concluded a very good meeting with the largest U.S. Defense Manufacturing Companies where we discussed Production and Production Schedules. They have ag,https://truthsocial.com/@realDonaldTrump/116184185735585906,
S,purchase,2026-01-21,2026-03-06,truth_social,ticker_mentioned,44,-13.056543694972389,1001.0,"There will be no deal with Iran except UNCONDITIONAL SURRENDER! After that, and the selection of a GREAT & ACCEPTABLE Leader(s), we, and many of our wonderful a",https://truthsocial.com/@realDonaldTrump/116182551337254643,
TTD,purchase,2026-01-02,2025-12-16,truth_social,ticker_mentioned,-17,-58.44481809624335,1001.0,"Numbers recently released show that TARIFFS have reduced the Trade Deficit of the United States by more than half. This is larger than anyone, except ME, projec",https://truthsocial.com/@realDonaldTrump/115731785428395132,
