date,position_cost,position_mtm,n_open_lots,n_tickers,realized_pnl,unrealized_pnl,total_pnl,daily_pnl,cum_pnl
2025-01-27,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-28,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-29,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-30,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-01-31,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-03,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-04,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-05,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-06,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-07,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-10,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-11,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-12,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-13,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-14,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-18,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-19,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-20,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-21,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-24,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-25,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2025-02-26,250001.0,250001.0,1,1,0.0,0.0,0.0,0.0,0.0
2025-02-27,250001.0,244263.9665645848,1,1,0.0,-5737.033435415189,-5737.033435415189,-5737.033435415189,-5737.033435415189
2025-02-28,250001.0,247959.99906483587,1,1,0.0,-2041.0009351641302,-2041.0009351641302,3696.032500251059,-2041.0009351641302
2025-03-03,250001.0,243080.22559013305,1,1,0.0,-6920.774409866941,-6920.774409866941,-4879.773474702811,-6920.774409866941
2025-03-04,350002.0,337496.3695555637,2,2,0.0,-12505.63044443627,-12505.63044443627,-5584.8560345693295,-12505.63044443627
2025-03-05,350002.0,341342.7914594635,2,2,0.0,-8659.208540536534,-8659.208540536534,3846.421903899736,-8659.208540536534
2025-03-06,350002.0,330104.69879061176,2,2,0.0,-19897.301209388235,-19897.301209388235,-11238.092668851701,-19897.301209388235
2025-03-07,350002.0,329262.3336591812,2,2,0.0,-20739.666340818774,-20739.666340818774,-842.3651314305389,-20739.666340818774
2025-03-10,350002.0,312521.80301955435,2,2,0.0,-37480.19698044565,-37480.19698044565,-16740.53063962688,-37480.19698044565
2025-03-11,365003.0,333623.89612166886,3,3,0.0,-31379.103878331152,-31379.103878331152,6101.093102114501,-31379.103878331152
2025-03-12,365003.0,338620.22775966325,3,3,0.0,-26382.772240336737,-26382.772240336737,4996.331637994415,-26382.772240336737
2025-03-13,365003.0,327685.0340479356,3,3,0.0,-37317.96595206437,-37317.96595206437,-10935.193711727632,-37317.96595206437
2025-03-14,365003.0,333691.92756647896,3,3,0.0,-31311.072433521018,-31311.072433521018,6006.893518543351,-31311.072433521018
2025-03-17,366004.0,333455.7224724975,4,4,0.0,-32548.277527502494,-32548.277527502494,-1237.2050939814762,-32548.277527502494
2025-03-18,411007.0,371392.54675855505,7,7,0.0,-39614.45324144498,-39614.45324144498,-7066.175713942484,-39614.45324144498
2025-03-19,411007.0,374200.61246688105,7,7,0.0,-36806.38753311895,-36806.38753311895,2808.0657083260303,-36806.38753311895
2025-03-20,411007.0,377942.58928317064,7,7,0.0,-33064.4107168294,-33064.4107168294,3741.976816289549,-33064.4107168294
2025-03-21,411007.0,381551.3946107983,7,7,0.0,-29455.605389201697,-29455.605389201697,3608.8053276277024,-29455.605389201697
2025-03-24,411007.0,392148.4801158839,7,7,0.0,-18858.51988411604,-18858.51988411604,10597.085505085655,-18858.51988411604
2025-03-25,411007.0,395897.6525005838,7,7,0.0,-15109.34749941619,-15109.34749941619,3749.172384699852,-15109.34749941619
2025-03-26,411007.0,388098.41011552216,7,7,0.0,-22908.589884477788,-22908.589884477788,-7799.242385061598,-22908.589884477788
2025-03-27,411007.0,380922.2207637584,7,7,0.0,-30084.77923624157,-30084.77923624157,-7176.189351763784,-30084.77923624157
2025-03-28,411007.0,370282.7295207368,7,7,0.0,-40724.27047926318,-40724.27047926318,-10639.491243021606,-40724.27047926318
2025-03-31,411007.0,372417.523118075,7,7,0.0,-38589.47688192502,-38589.47688192502,2134.793597338161,-38589.47688192502
2025-04-01,411007.0,376629.3090027154,7,7,0.0,-34377.69099728459,-34377.69099728459,4211.785884640427,-34377.69099728459
2025-04-02,411007.0,373964.2874511078,7,7,0.0,-37042.712548892145,-37042.712548892145,-2665.021551607555,-37042.712548892145
2025-04-03,411007.0,350975.2486984524,7,7,0.0,-60031.75130154761,-60031.75130154761,-22989.038752655462,-60031.75130154761
2025-04-04,411007.0,335836.13336078834,7,7,0.0,-75170.86663921172,-75170.86663921172,-15139.115337664109,-75170.86663921172
2025-04-07,411007.0,341673.65361448866,7,7,0.0,-69333.34638551134,-69333.34638551134,5837.520253700379,-69333.34638551134
2025-04-08,411007.0,336890.10002963035,7,7,0.0,-74116.89997036966,-74116.89997036966,-4783.553584858324,-74116.89997036966
2025-04-09,411007.0,370928.1839796977,7,7,0.0,-40078.81602030228,-40078.81602030228,34038.08395006738,-40078.81602030228
2025-04-10,411007.0,354162.7491598287,7,7,0.0,-56844.250840171255,-56844.250840171255,-16765.434819868977,-56844.250840171255
2025-04-11,411007.0,354519.20592283126,7,7,0.0,-56487.794077168706,-56487.794077168706,356.45676300254854,-56487.794077168706
2025-04-14,411007.0,350250.53089731646,7,7,0.0,-60756.46910268358,-60756.46910268358,-4268.675025514873,-60756.46910268358
2025-04-15,411007.0,345778.234173885,7,7,0.0,-65228.765826115,-65228.765826115,-4472.29672343142,-65228.765826115
2025-04-16,411007.0,335050.8233132686,7,7,0.0,-75956.17668673139,-75956.17668673139,-10727.410860616386,-75956.17668673139
2025-04-17,411007.0,333085.83833195956,7,7,0.0,-77921.16166804043,-77921.16166804043,-1964.9849813090404,-77921.16166804043
2025-04-21,411007.0,324785.0462769549,7,7,0.0,-86221.95372304515,-86221.95372304515,-8300.792055004727,-86221.95372304515
2025-04-22,411007.0,328906.46484150726,7,7,0.0,-82100.53515849273,-82100.53515849273,4121.418564552427,-82100.53515849273
2025-04-23,411007.0,337917.0399227764,7,7,0.0,-73089.96007722364,-73089.96007722364,9010.575081269082,-73089.96007722364
2025-04-24,411007.0,345616.7650017171,7,7,0.0,-65390.23499828293,-65390.23499828293,7699.725078940712,-65390.23499828293
2025-04-25,411007.0,350702.8387936249,7,7,0.0,-60304.161206375094,-60304.161206375094,5086.073791907838,-60304.161206375094
2025-04-28,411007.0,355442.297519814,7,7,0.0,-55564.70248018602,-55564.70248018602,4739.458726189077,-55564.70248018602
2025-04-29,411007.0,357301.77303348324,7,7,0.0,-53705.22696651682,-53705.22696651682,1859.4755136691965,-53705.22696651682
2025-04-30,411007.0,347340.2420500554,7,7,0.0,-63666.75794994457,-63666.75794994457,-9961.53098342775,-63666.75794994457
2025-05-01,411007.0,362562.3175739347,7,7,0.0,-48444.68242606536,-48444.68242606536,15222.075523879212,-48444.68242606536
2025-05-02,411007.0,372569.84021727735,7,7,0.0,-38437.15978272267,-38437.15978272267,10007.522643342687,-38437.15978272267
2025-05-05,411007.0,372872.22417687764,7,7,0.0,-38134.775823122414,-38134.775823122414,302.3839596002581,-38134.775823122414
2025-05-06,411007.0,364999.108872491,7,7,0.0,-46007.89112750904,-46007.89112750904,-7873.115304386629,-46007.89112750904
2025-05-07,411007.0,357787.496410286,7,7,0.0,-53219.503589714026,-53219.503589714026,-7211.612462204983,-53219.503589714026
2025-05-08,411007.0,365270.6901256145,7,7,0.0,-45736.30987438547,-45736.30987438547,7483.193715328554,-45736.30987438547
2025-05-09,411007.0,366727.34992128523,7,7,0.0,-44279.650078714745,-44279.650078714745,1456.6597956707265,-44279.650078714745
2025-05-12,411007.0,386953.603078927,7,7,0.0,-24053.39692107303,-24053.39692107303,20226.253157641717,-24053.39692107303
2025-05-13,411007.0,398861.0913847514,7,7,0.0,-12145.908615248625,-12145.908615248625,11907.488305824403,-12145.908615248625
2025-05-14,411007.0,400821.8218584024,7,7,0.0,-10185.178141597653,-10185.178141597653,1960.7304736509723,-10185.178141597653
2025-05-15,411007.0,395382.43992884684,7,7,0.0,-15624.56007115315,-15624.56007115315,-5439.381929555497,-15624.56007115315
2025-05-16,411007.0,393202.59480169555,7,7,0.0,-17804.405198304412,-17804.405198304412,-2179.845127151262,-17804.405198304412
2025-05-19,411007.0,390084.1560129517,7,7,0.0,-20922.843987048283,-20922.843987048283,-3118.4387887438716,-20922.843987048283
2025-05-20,411007.0,390408.9922388479,7,7,0.0,-20598.007761152094,-20598.007761152094,324.8362258961897,-20598.007761152094
2025-05-21,411007.0,389363.8050928695,7,7,0.0,-21643.1949071305,-21643.1949071305,-1045.1871459784052,-21643.1949071305
2025-05-22,411007.0,390809.7239019459,7,7,0.0,-20197.276098054084,-20197.276098054084,1445.9188090764146,-20197.276098054084
2025-05-23,411007.0,389126.99367233814,7,7,0.0,-21880.006327661893,-21880.006327661893,-1682.7302296078087,-21880.006327661893
2025-05-27,411007.0,397656.88266192295,7,7,0.0,-13350.11733807706,-13350.11733807706,8529.888989584833,-13350.11733807706
2025-05-28,411007.0,398991.3817935063,7,7,0.0,-12015.618206493686,-12015.618206493686,1334.499131583374,-12015.618206493686
2025-05-29,411007.0,400459.4066652876,7,7,0.0,-10547.593334712326,-10547.593334712326,1468.0248717813593,-10547.593334712326
2025-05-30,411007.0,400777.99492359924,7,7,0.0,-10229.00507640075,-10229.00507640075,318.5882583115763,-10229.00507640075
2025-06-02,411007.0,408198.860834587,7,7,0.0,-2808.139165413021,-2808.139165413021,7420.865910987729,-2808.139165413021
2025-06-03,461008.0,456839.17219704355,8,7,0.0,-4168.827802956484,-4168.827802956484,-1360.6886375434633,-4168.827802956484
2025-06-04,461008.0,469198.74629771657,8,7,0.0,8190.746297716605,8190.746297716605,12359.57410067309,8190.746297716605
2025-06-05,461008.0,461918.4166920291,8,7,0.0,910.4166920291184,910.4166920291184,-7280.329605687487,910.4166920291184
2025-06-06,461008.0,466584.7606713027,8,7,0.0,5576.760671302594,5576.760671302594,4666.343979273476,5576.760671302594
2025-06-09,461008.0,466092.0600935545,8,7,0.0,5084.060093554448,5084.060093554448,-492.7005777481463,5084.060093554448
2025-06-10,461008.0,473321.0644905516,8,7,0.0,12313.06449055156,12313.06449055156,7229.004396997112,12313.06449055156
2025-06-11,461008.0,471381.3267010455,8,7,0.0,10373.326701045553,10373.326701045553,-1939.7377895060072,10373.326701045553
2025-06-12,461008.0,461255.8166591642,8,7,0.0,247.81665916420934,247.81665916420934,-10125.510041881344,247.81665916420934
2025-06-13,461008.0,457300.5906226737,8,7,0.0,-3707.409377326309,-3707.409377326309,-3955.2260364905183,-3707.409377326309
2025-06-16,461008.0,471068.5292892532,8,7,0.0,10060.529289253169,10060.529289253169,13767.938666579477,10060.529289253169
2025-06-17,461008.0,465494.64231856813,8,7,0.0,4486.642318568109,4486.642318568109,-5573.88697068506,4486.642318568109
2025-06-18,461008.0,470834.153492864,8,7,0.0,9826.153492863968,9826.153492863968,5339.51117429586,9826.153492863968
2025-06-20,461008.0,466911.5290567093,8,7,0.0,5903.529056709395,5903.529056709395,-3922.6244361545732,5903.529056709395
2025-06-23,461008.0,475564.5404447531,8,7,0.0,14556.54044475309,14556.54044475309,8653.011388043695,14556.54044475309
2025-06-24,461008.0,481042.907091508,8,7,0.0,20034.907091507932,20034.907091507932,5478.366646754843,20034.907091507932
2025-06-25,461008.0,478660.0149905113,8,7,0.0,17652.014990511358,17652.014990511358,-2382.8921009965743,17652.014990511358
2025-06-26,461008.0,486135.9105715504,8,7,0.0,25127.910571550434,25127.910571550434,7475.895581039076,25127.910571550434
2025-06-27,461008.0,493766.7271898629,8,7,0.0,32758.72718986289,32758.72718986289,7630.816618312456,32758.72718986289
2025-06-30,461008.0,501525.60082922823,8,7,0.0,40517.60082922825,40517.60082922825,7758.87363936536,40517.60082922825
2025-07-01,461008.0,490011.98674274265,8,7,0.0,29003.986742742636,29003.986742742636,-11513.614086485613,29003.986742742636
2025-07-02,461008.0,493401.5345639078,8,7,0.0,32393.534563907786,32393.534563907786,3389.54782116515,32393.534563907786
2025-07-03,461008.0,494580.7389306331,8,7,0.0,33572.73893063315,33572.73893063315,1179.2043667253674,33572.73893063315
2025-07-07,461008.0,497095.2413461934,8,7,0.0,36087.24134619339,36087.24134619339,2514.502415560237,36087.24134619339
2025-07-08,461008.0,498070.7114833888,8,7,0.0,37062.71148338882,37062.71148338882,975.4701371954288,37062.71148338882
2025-07-09,461008.0,498338.55986448727,8,7,0.0,37330.55986448728,37330.55986448728,267.8483810984617,37330.55986448728
2025-07-10,461008.0,504721.26541681966,8,7,0.0,43713.26541681963,43713.26541681963,6382.705552332351,43713.26541681963
2025-07-11,461008.0,500287.2475590056,8,7,0.0,39279.24755900556,39279.24755900556,-4434.017857814069,39279.24755900556
2025-07-14,461008.0,501577.7818217638,8,7,0.0,40569.78182176378,40569.78182176378,1290.5342627582213,40569.78182176378
2025-07-15,461008.0,497521.1315131123,8,7,0.0,36513.13151311219,36513.13151311219,-4056.650308651595,36513.13151311219
2025-07-16,461008.0,493840.80095225,8,7,0.0,32832.800952250014,32832.800952250014,-3680.330560862174,32832.800952250014
2025-07-17,461008.0,499543.7978760436,8,7,0.0,38535.79787604365,38535.79787604365,5702.996923793638,38535.79787604365
2025-07-18,461008.0,501969.5094231776,8,7,0.0,40961.50942317757,40961.50942317757,2425.7115471339202,40961.50942317757
2025-07-21,461008.0,506435.3396682713,8,7,0.0,45427.339668271285,45427.339668271285,4465.830245093712,45427.339668271285
2025-07-22,461008.0,509898.2910835129,8,7,0.0,48890.29108351295,48890.29108351295,3462.951415241667,48890.29108351295
2025-07-23,461008.0,511418.72478377697,8,7,0.0,50410.72478377693,50410.72478377693,1520.4337002639804,50410.72478377693
2025-07-24,461008.0,513964.2972898097,8,7,0.0,52956.29728980974,52956.29728980974,2545.5725060328114,52956.29728980974
2025-07-25,461008.0,514660.26709345984,8,7,0.0,53652.26709345982,53652.26709345982,695.9698036500777,53652.26709345982
2025-07-28,461008.0,517426.0487896157,8,7,0.0,56418.04878961567,56418.04878961567,2765.781696155849,56418.04878961567
2025-07-29,461008.0,509661.1090944336,8,7,0.0,48653.109094433625,48653.109094433625,-7764.939695182045,48653.109094433625
2025-07-30,461008.0,507934.44872378244,8,7,0.0,46926.44872378245,46926.44872378245,-1726.6603706511742,46926.44872378245
2025-07-31,461008.0,533116.5188978921,8,7,0.0,72108.51889789206,72108.51889789206,25182.070174109613,72108.51889789206
2025-08-01,461008.0,522024.5212015091,8,7,0.0,61016.5212015092,61016.5212015092,-11091.997696382867,61016.5212015092
2025-08-04,461008.0,526459.7529649545,8,7,0.0,65451.75296495451,65451.75296495451,4435.231763445314,65451.75296495451
2025-08-05,461008.0,520974.6210262575,8,7,0.0,59966.62102625754,59966.62102625754,-5485.13193869697,59966.62102625754
2025-08-06,461008.0,526386.636139647,8,7,0.0,65378.63613964689,65378.63613964689,5412.015113389352,65378.63613964689
2025-08-07,461008.0,525453.5079381271,8,7,0.0,64445.50793812714,64445.50793812714,-933.1282015197503,64445.50793812714
2025-08-08,461008.0,537618.0402221278,8,7,0.0,76610.04022212782,76610.04022212782,12164.532284000677,76610.04022212782
2025-08-11,461008.0,526407.2896839613,8,7,0.0,65399.2896839613,65399.2896839613,-11210.750538166518,65399.2896839613
2025-08-12,461008.0,540932.4630043183,8,7,0.0,79924.4630043183,79924.4630043183,14525.173320356997,79924.4630043183
2025-08-13,461008.0,533741.8410744944,8,7,0.0,72733.84107449443,72733.84107449443,-7190.621929823872,72733.84107449443
2025-08-14,461008.0,539378.361261912,8,7,0.0,78370.3612619121,78370.3612619121,5636.520187417671,78370.3612619121
2025-08-15,461008.0,539279.3849713817,8,7,0.0,78271.38497138186,78271.38497138186,-98.97629053023411,78271.38497138186
2025-08-18,461008.0,532984.4561638724,8,7,0.0,71976.4561638724,71976.4561638724,-6294.928807509466,71976.4561638724
2025-08-19,461008.0,526867.8862684303,8,7,0.0,65859.88626843033,65859.88626843033,-6116.569895442066,65859.88626843033
2025-08-20,461008.0,524750.934035528,8,7,0.0,63742.93403552803,63742.93403552803,-2116.952232902302,63742.93403552803
2025-08-21,461008.0,521063.1277227065,8,7,0.0,60055.127722706464,60055.127722706464,-3687.8063128215654,60055.127722706464
2025-08-22,461008.0,533112.0725351634,8,7,0.0,72104.0725351634,72104.0725351634,12048.944812456939,72104.0725351634
2025-08-25,461008.0,538515.9620990489,8,7,0.0,77507.96209904882,77507.96209904882,5403.889563885416,77507.96209904882
2025-08-26,461008.0,539580.0867924994,8,7,0.0,78572.08679249941,78572.08679249941,1064.1246934505907,78572.08679249941
2025-08-27,461008.0,526215.8869270888,8,7,0.0,65207.88692708879,65207.88692708879,-13364.199865410621,65207.88692708879
2025-08-28,461008.0,527925.7143091782,8,7,0.0,66917.71430917819,66917.71430917819,1709.8273820894028,66917.71430917819
2025-08-29,461008.0,521424.38470905804,8,7,0.0,60416.38470905802,60416.38470905802,-6501.329600120174,60416.38470905802
