ticker,trades,buys,sales,total_notional,avg_post_5d,avg_post_1d
AMZN,23,19,4,8848023.0,-0.015898329715881038,0.010574328100019683
MSFT,21,17,4,8443021.0,0.0146500049756866,-0.0038863749971789325
VOO,6,3,3,5500006.0,0.0,0.0
NVDA,15,11,4,3617015.0,-0.0003593281967559511,0.010674282561148848
SPY,5,2,3,3500005.0,0.001205671313550693,-0.0011189696073560353
BA,8,6,2,2533008.0,-0.04614345645495684,0.007873540472027206
ORCL,18,16,2,2530018.0,-0.022355418444519708,0.012197629770057157
UBER,16,14,2,2289015.0,-0.022295746342816388,-0.01630438366462317
META,21,17,4,2202021.0,-0.00020357491752819203,0.012678109362007594
AAPL,8,8,0,2200008.0,0.014145229309381382,0.013805995565634225
ACN,12,8,4,2184012.0,0.013802985612649907,-0.01988966371734124
NFLX,12,10,2,2167012.0,0.012700571139850875,-0.0007605604938606846
CMCSA,6,6,0,2046006.0,-0.004016079638624071,0.0016064624955887772
PTC,8,7,1,2034008.0,0.005044382952223337,-0.017733342982491223
COST,12,12,0,1862012.0,0.07088889210094418,0.010960143185460793
AVGO,12,10,2,1796012.0,-0.013085270225532164,-0.003990745402845387
CDNS,12,9,3,1622012.0,-0.02781813896816938,-0.004873785985729086
ZBRA,5,4,1,1531004.0,0.01330080009723621,0.012333019625394478
MCHP,5,5,0,1530005.0,-0.06028654390728079,-0.010132962563635134
GOOGL,9,9,0,1445009.0,0.0008003034818874021,0.03942168264634315
MSI,10,9,1,1411010.0,0.015002930198888615,0.013285980238077491
FTNT,12,8,4,1378012.0,0.040309113641080606,0.01118234127421494
UNH,13,12,1,1336013.0,-0.015262797836667787,0.010182255861338353
PLTR,12,7,5,1335012.0,-0.0009068694769167433,-0.007291662926767387
PM,12,12,0,1334012.0,0.024822205265290543,0.0052426631612183
WDAY,13,9,4,1252013.0,0.0347586778176366,-0.006873930643082999
SNPS,9,7,2,1197009.0,-0.020935794127422105,-0.004254293807710003
LII,6,6,0,1180006.0,-0.05085042959845695,-0.0020646697830542494
BSX,11,8,3,1170011.0,0.022769307474415856,-0.008738003110090525
NOW,9,8,1,1170009.0,0.11212236306789365,-0.017041171832328728
JBL,3,3,0,1100003.0,-0.05086892498437448,0.013198352757587415
TXN,4,4,0,1080004.0,0.024189395284245012,0.037842539560309925
AXON,6,4,2,1054006.0,-0.0011177219867729254,-0.014259340701140433
TDG,3,2,1,1051003.0,-0.0033887641622365587,0.0028571102594993
NVR,4,3,1,1050004.0,-0.0019100616773461284,-0.006518675746736681
CME,6,5,1,1046006.0,0.03877514171405658,0.026550025973315836
CMG,6,6,0,1046006.0,0.011325459666959511,-0.017141034281601505
ROP,12,9,3,1035012.0,0.007671175500472639,-0.011869485681684536
EME,5,5,0,1031005.0,-0.07626774483781437,-0.0020434799422076474
TT,4,4,0,1031004.0,-0.04201769179021296,0.007184675459204193
DELL,4,4,0,1031004.0,-0.01540138903896068,0.02063276398011338
BKNG,12,9,3,1020012.0,-0.018746899489282924,-0.017220973042425442
ITW,5,5,0,1017005.0,-0.016069402514116246,-0.005210602360733281
CDW,4,3,1,1017004.0,0.025427957347594596,0.005538758012667548
IEMG,2,2,0,1000002.0,-0.02386573327256371,0.0198882058944638
VYM,1,0,1,1000001.0,0.00032061457813060273,0.0020518550297696065
DASH,13,9,4,999013.0,-0.0013383310196102287,-0.015167499444624772
LRCX,7,7,0,865007.0,-0.05483330758900574,0.021435529029050576
QCOM,13,10,3,815013.0,-0.03763674130577235,0.0073225255410018595
AMAT,7,7,0,815007.0,-0.05633113563205489,0.012546327534446173
DLR,4,4,0,780004.0,-0.04603884517060939,-0.010037418297653044
DDOG,11,7,4,763011.0,0.020747121321878705,0.007324918000331188
AVB,4,3,1,752004.0,-0.0051064154060406755,-0.0014971595171656478
AMD,9,8,1,747009.0,-0.05940602454638572,-0.0048406312982389324
SPGI,7,5,2,732007.0,-0.013912901149320703,-0.017802856433254927
WM,5,5,0,715005.0,0.021548369276026,-0.005559345228622447
HD,12,10,2,713012.0,-0.01722173384528212,-0.01698555665747548
PAYX,12,11,1,666012.0,0.017653901723796283,-0.02341834710024587
APP,11,9,2,664011.0,-0.017883918440298744,-0.048191882736656554
