trade_id,person,doc_id,txn_num,asset_name,action,transaction_date,disclosure_date,amount_min,amount_max,asset_class,ticker,source_doc
195f2454df66,Donald Trump,trump_278t_2025_08_19_a,11,DANVILLE VA SCH 2022 B1E GUAR CR ENH 4.00 % Duo Sop 1. 2025,purchase,2025-01-29,2025-08-19,50001.0,100000.0,other,,trump_278t_2025_08_19_a.pdf
a0149732e608,Donald Trump,trump_278t_2025_08_19_a,419,PENNSYLVANIA ST COMMN TPK REV SERB 8/E 5.00 % Duo Doc 1. 2025,purchase,2025-05-15,2025-08-19,50001.0,100000.0,other,,trump_278t_2025_08_19_a.pdf
93090dfe6647,Donald Trump,trump_278t_2025_08_19_a,417,OHIO ST HSG FIN AGY RESDNTL MTG REV SER ABIE 5.00 % Duo Mar 1. 2026,purchase,2025-05-05,2025-08-19,500001.0,1000000.0,other,,trump_278t_2025_08_19_a.pdf
cdf7a2f945b6,Donald Trump,trump_278t_2025_08_19_a,415,"RTH CHARLESTON SC LTD OBLIG TAX INCRMT PLG 2024 REV B1E 5.00 % Duo Oct 1, 2025",purchase,2025-05-05,2025-08-19,100001.0,250000.0,other,,trump_278t_2025_08_19_a.pdf
e30d26a00ccd,Donald Trump,trump_278t_2025_08_19_a,413,"MUNSTER IN SCH BLDG CORP AD VALOREM PPTYTAX 1ST MTG REV B1E 5.00 % Duo Jan 15, 2026",purchase,2025-05-05,2025-08-19,50001.0,100000.0,equity,,trump_278t_2025_08_19_a.pdf
8d51f35d8d0a,Donald Trump,trump_278t_2025_08_19_a,402,"CHARLOTTE MECKLENBURG HOSP AUTH NC HC SYS REV RFOG CAROLINAS HCA B1E 5.00 % Duo Jan 15, 2026",purchase,2025-05-05,2025-08-19,50001.0,100000.0,other,,trump_278t_2025_08_19_a.pdf
2080eb3d75a6,Donald Trump,trump_278t_2025_08_19_a,401,BUFFALO MN TAX ABATEMT UTIL RFOG 2023 B DB BIE 5.00 % Duo Fob 1. 2026,purchase,2025-05-05,2025-08-19,50001.0,100000.0,other,,trump_278t_2025_08_19_a.pdf
877c23017e3e,Donald Trump,trump_278t_2025_08_19_a,398,COMMONWEALTH FING A 5% DUE ON 06/01/28,purchase,2025-04-11,2025-08-19,1001.0,15000.0,other,,trump_278t_2025_08_19_a.pdf
076ac2fea190,Donald Trump,trump_278t_2025_08_19_a,396,"NEW HAMPSHIRE ST HSG FIN AUTH SNGL FAM MTG REV ACQ 2023A B1E GUAR GNMA 3.00 % Due Jul 1, 2028",purchase,2025-04-08,2025-08-19,50001.0,100000.0,other,,trump_278t_2025_08_19_a.pdf
4eba427791bf,Donald Trump,trump_278t_2025_08_19_a,394,I IOWA CITY IA BIE 3.00 % Duo Jun 1 . 2029,purchase,2025-04-08,2025-08-19,15001.0,50000.0,other,,trump_278t_2025_08_19_a.pdf
